"","year","county","st_total","st_le_total","cnty_total","cnty_le_total"
"191",2018,"Lake County",174,111,174,111
"192",2018,"Lassen County",150,99,150,99
"193",2018,"Los Angeles County",44335,35751,44335,35751
"194",2018,"Madera County",394,237,394,237
"195",2018,"Marin County",835,615,835,615
"196",2018,"Mariposa County",103,74,103,74
"197",2018,"Mendocino County",413,276,413,276
"198",2018,"Merced County",796,552,796,552
"199",2018,"Modoc County",47,37,47,37
"200",2018,"Mono County",76,57,76,57
"201",2018,"Monterey County",1427,947,1427,947
"202",2018,"Napa County",611,412,611,412
"203",2018,"Nevada County",317,228,317,228
"204",2018,"Orange County",9957,7621,9957,7621
"205",2018,"Placer County",1129,864,1129,864
"206",2018,"Plumas County",84,62,84,62
"207",2018,"Riverside County",6837,5042,6837,5042
"208",2018,"Sacramento County",15789,14571,4643,3425
"209",2018,"San Benito County",138,94,138,94
"210",2018,"San Bernardino County",7474,5519,7474,5519
"211",2018,"San Diego County",10776,8366,10776,8366
"212",2018,"San Francisco County",5013,4157,5013,4157
"213",2018,"San Joaquin County",2422,1828,2422,1828
"214",2018,"San Luis Obispo County",1163,913,1163,913
"215",2018,"San Mateo County",2188,1707,2188,1707
"216",2018,"Santa Barbara County",1634,1140,1634,1140
"217",2018,"Santa Clara County",6364,4571,6364,4571
"218",2018,"Santa Cruz County",861,634,861,634
"219",2018,"Shasta County",555,387,555,387
"220",2018,"Sierra County",19,13,19,13
"221",2018,"Siskiyou County",222,154,222,154
"222",2018,"Solano County",1536,1117,1536,1117
"223",2018,"Sonoma County",1612,1144,1612,1144
"224",2018,"Stanislaus County",1676,1220,1676,1220
"225",2018,"Sutter County",291,220,291,220
"226",2018,"Tehama County",265,175,265,175
"227",2018,"Trinity County",69,42,69,42
"228",2018,"Tulare County",1977,1282,1977,1282
"229",2018,"Tuolumne County",223,148,223,148
"230",2018,"Ventura County",2825,2041,2825,2041
"231",2018,"Yolo County",856,600,856,600
"232",2018,"Yuba County",300,189,300,189
