"","year","gender","race","age_group","county","violent","property","f_drugoff","f_sexoff","f_allother","f_total","m_total","s_total"
"7251",2017,"Female","White","20 to 29","San Mateo County",30,26,4,1,20,81,285,0
"7252",2017,"Female","White","20 to 29","Santa Barbara County",34,37,40,0,21,132,516,0
"7253",2017,"Female","White","20 to 29","Santa Clara County",61,77,16,0,32,186,616,0
"7254",2017,"Female","White","20 to 29","Santa Cruz County",29,37,13,0,18,97,423,0
"7255",2017,"Female","White","20 to 29","Shasta County",42,45,9,0,65,161,747,0
"7256",2017,"Female","White","20 to 29","Sierra County",1,0,0,0,0,1,5,0
"7257",2017,"Female","White","20 to 29","Siskiyou County",10,11,5,0,16,42,121,0
"7258",2017,"Female","White","20 to 29","Solano County",39,44,13,1,29,126,423,0
"7259",2017,"Female","White","20 to 29","Sonoma County",65,31,3,1,37,137,581,0
"7260",2017,"Female","White","20 to 29","Stanislaus County",69,52,51,0,49,221,545,0
"7261",2017,"Female","White","20 to 29","Sutter County",16,15,3,0,18,52,148,0
"7262",2017,"Female","White","20 to 29","Tehama County",7,16,5,0,12,40,141,0
"7263",2017,"Female","White","20 to 29","Trinity County",1,2,0,0,1,4,19,0
"7264",2017,"Female","White","20 to 29","Tulare County",49,42,25,0,22,138,368,0
"7265",2017,"Female","White","20 to 29","Tuolumne County",11,12,5,0,35,63,173,0
"7266",2017,"Female","White","20 to 29","Ventura County",62,58,25,0,37,182,977,0
"7267",2017,"Female","White","20 to 29","Yolo County",15,21,2,0,22,60,190,0
"7268",2017,"Female","White","20 to 29","Yuba County",16,12,1,0,16,45,123,0
"7269",2017,"Female","White","30 to 39","Alameda County",46,70,25,0,24,165,627,0
"7270",2017,"Female","White","30 to 39","Alpine County",0,0,0,0,0,0,1,0
"7271",2017,"Female","White","30 to 39","Amador County",3,5,5,0,9,22,31,0
"7272",2017,"Female","White","30 to 39","Butte County",32,45,10,1,34,122,669,0
